"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1121","$$ - locate element","","Thu Oct 03 23:21:59 WIB 2024","passed","Thu Oct 03 23:22:00 WIB 2024","","locating elements","",""
"","3035","JS Execute","","Thu Oct 03 23:01:20 WIB 2024","passed","Thu Oct 03 23:01:23 WIB 2024","","advanced element interactions - examples","",""
"Validate copntact us page by submmiting all data","7433","valid submission - submit all information","","Thu Oct 03 23:21:50 WIB 2024","passed","Thu Oct 03 23:21:58 WIB 2024","","webdriveruniversity - contact us page","",""
"","9842","Alerts","","Thu Oct 03 23:01:13 WIB 2024","broken","Thu Oct 03 23:01:23 WIB 2024","","advanced element interactions - examples","",""
"","1789","actions","","Thu Oct 03 23:01:01 WIB 2024","passed","Thu Oct 03 23:01:03 WIB 2024","","advanced element interactions - examples","",""
"","6220","add specific ""skincare products"" to basket & validate car total","","Thu Oct 03 23:21:50 WIB 2024","passed","Thu Oct 03 23:21:56 WIB 2024","","add items to basket","",""
"","8641","$ - locate element","","Thu Oct 03 23:21:50 WIB 2024","passed","Thu Oct 03 23:21:59 WIB 2024","","locating elements","",""
"Validate copntact us page by not submmiting all data","10769","invalid submission - dont submit all information","","Thu Oct 03 23:21:58 WIB 2024","broken","Thu Oct 03 23:22:09 WIB 2024","","webdriveruniversity - contact us page","",""
"","9464","$ - locate element","","Thu Oct 03 23:15:02 WIB 2024","passed","Thu Oct 03 23:15:11 WIB 2024","","locating elements","",""
"","1748","$$ - locate element","","Thu Oct 03 23:15:11 WIB 2024","passed","Thu Oct 03 23:15:13 WIB 2024","","locating elements","",""
"","12121","waitUntil","","Thu Oct 03 23:01:10 WIB 2024","passed","Thu Oct 03 23:01:22 WIB 2024","","wait commands - examples","",""
"","9054","inputs","","Thu Oct 03 23:00:48 WIB 2024","passed","Thu Oct 03 23:00:57 WIB 2024","","advanced element interactions - examples","",""
"","6883","waitForClickable","","Thu Oct 03 23:00:58 WIB 2024","passed","Thu Oct 03 23:01:05 WIB 2024","","wait commands - examples","",""
"","5164","waitForDisplayed","","Thu Oct 03 23:01:05 WIB 2024","passed","Thu Oct 03 23:01:10 WIB 2024","","wait commands - examples","",""
"","9166","pause command","","Thu Oct 03 23:00:49 WIB 2024","passed","Thu Oct 03 23:00:58 WIB 2024","","wait commands - examples","",""
"","10718","only type a first name","","Thu Oct 03 20:17:37 WIB 2024","broken","Thu Oct 03 20:17:48 WIB 2024","","webdriveruniversity - contact us page","",""
"","6945","File Upload","","Thu Oct 03 23:01:16 WIB 2024","broken","Thu Oct 03 23:01:23 WIB 2024","","advanced element interactions - examples","",""
"Validate copntact us page by not submmiting all data","10541","invalid submission - dont submit all information","","Thu Oct 03 23:15:10 WIB 2024","broken","Thu Oct 03 23:15:21 WIB 2024","","webdriveruniversity - contact us page","",""
"","7487","handling windows","","Thu Oct 03 23:01:03 WIB 2024","passed","Thu Oct 03 23:01:11 WIB 2024","","advanced element interactions - examples","",""
"","10256","add specific ""skincare products"" to basket & validate car total","","Thu Oct 03 23:15:02 WIB 2024","passed","Thu Oct 03 23:15:12 WIB 2024","","add items to basket","",""
"","2553","async vs sync","","Thu Oct 03 23:00:48 WIB 2024","passed","Thu Oct 03 23:00:51 WIB 2024","","async vs sync -webdriverio example","",""
"","3347","dropdowns","","Thu Oct 03 23:00:57 WIB 2024","passed","Thu Oct 03 23:01:01 WIB 2024","","advanced element interactions - examples","",""
"","2926","IFrames","","Thu Oct 03 23:01:11 WIB 2024","passed","Thu Oct 03 23:01:13 WIB 2024","","advanced element interactions - examples","",""
"Validate copntact us page by submmiting all data","8470","valid submission - submit all information","","Thu Oct 03 23:15:02 WIB 2024","passed","Thu Oct 03 23:15:10 WIB 2024","","webdriveruniversity - contact us page","",""
"","447","state commands","","Thu Oct 03 23:01:01 WIB 2024","passed","Thu Oct 03 23:01:01 WIB 2024","","advanced element interactions - examples","",""
"","129","waitForExist","","Thu Oct 03 23:01:10 WIB 2024","passed","Thu Oct 03 23:01:10 WIB 2024","","wait commands - examples","",""
